Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,ln(Energy_Flux100)_4FGL,ln(Unc_Energy_Flux100)_4FGL,ln(Pivot_Energy)_4FGL,LP_Index_4FGL,Unc_LP_Index_4FGL,LP_beta_4FGL,LP_SigCurv_4FGL,ln(Variability_Index)_4FGL,HR12_4FGL,HR23_4FGL,HR34_4FGL,HR45_4FGL,HR56_4FGL,HR67_4FGL,Category_4FGL,Class_4FGL,ASSOC_FGL,ASSOC_FHL,ASSOC1_4FGL,AGN_BDT_4FGL,AGN_BDT_STD_4FGL,PSR_BDT_4FGL,PSR_BDT_STD_4FGL,AGN_NN_4FGL,AGN_NN_STD_4FGL,PSR_NN_4FGL,PSR_NN_STD_4FGL,AGN_RF_4FGL,AGN_RF_STD_4FGL,PSR_RF_4FGL,PSR_RF_STD_4FGL,AGN_LR_4FGL,AGN_LR_STD_4FGL,PSR_LR_4FGL,PSR_LR_STD_4FGL,AGN_BDT_O_4FGL,AGN_BDT_STD_O_4FGL,PSR_BDT_O_4FGL,PSR_BDT_STD_O_4FGL,AGN_NN_O_4FGL,AGN_NN_STD_O_4FGL,PSR_NN_O_4FGL,PSR_NN_STD_O_4FGL,AGN_RF_O_4FGL,AGN_RF_STD_O_4FGL,PSR_RF_O_4FGL,PSR_RF_STD_O_4FGL,AGN_LR_O_4FGL,AGN_LR_STD_O_4FGL,PSR_LR_O_4FGL,PSR_LR_STD_O_4FGL,Flags_4FGL,Category_Prob_4FGL,Source_Name_3FGL_1,GLON_3FGL,GLAT_3FGL,ln(Energy_Flux100)_3FGL,ln(Unc_Energy_Flux100)_3FGL,ln(Signif_Curve)_3FGL,ln(Variability_Index)_3FGL,500MeV_Index_3FGL,HR12_3FGL,HR23_3FGL,HR34_3FGL,HR45_3FGL,Category_3FGL,CLASS_3FGL,Pivot_Energy,Spectrum_Type,ASSOC1_3FGL,Flags_3FGL,AGN_BDT_3FGL,AGN_BDT_STD_3FGL,PSR_BDT_3FGL,PSR_BDT_STD_3FGL,AGN_NN_3FGL,AGN_NN_STD_3FGL,PSR_NN_3FGL,PSR_NN_STD_3FGL,AGN_RF_3FGL,AGN_RF_STD_3FGL,PSR_RF_3FGL,PSR_RF_STD_3FGL,AGN_LR_3FGL,AGN_LR_STD_3FGL,PSR_LR_3FGL,PSR_LR_STD_3FGL,AGN_BDT_O_3FGL,AGN_BDT_STD_O_3FGL,PSR_BDT_O_3FGL,PSR_BDT_STD_O_3FGL,AGN_NN_O_3FGL,AGN_NN_STD_O_3FGL,PSR_NN_O_3FGL,PSR_NN_STD_O_3FGL,AGN_RF_O_3FGL,AGN_RF_STD_O_3FGL,PSR_RF_O_3FGL,PSR_RF_STD_O_3FGL,AGN_LR_O_3FGL,AGN_LR_STD_O_3FGL,PSR_LR_O_3FGL,PSR_LR_STD_O_3FGL,Category_Prob_3FGL,RAJ2000_Parkes,DEJ2000_Parkes,Tint,DMmax,Separation_Parkes
4FGL J0039.1+6257,121.53531,0.12189149,-25.3465959,-27.8729979,7.35878673,1.9055059,0.12032628,0.5618268,8.308322,2.11219038,-0.5410787,-0.4203886,-0.1946725,-0.64955246,-0.97542274,-0.92584616,UNAS,None,3FGL J0039.3+6256,,,0.0176204664,0.0658741615,0.982379534,0.0658741615,0.0953371366,0.0869802401,0.904662863,0.0869802401,0.0522597903,0.027053241,0.94774021,0.027053241,0.0767605263,0.0233125539,0.923239474,0.0233125539,0.0218469463,0.118189891,0.978153054,0.118189891,0.0139375734,0.0205544204,0.986062427,0.0205544204,0.0134226807,0.00629353625,0.986577319,0.00629353625,0.00266995133,0.00135985473,0.997330049,0.00135985473,0,PSR,3FGL J0039.3+6256,121.55667,0.10212196,-25.4217227,-27.4970938,2.00448402,4.05773314,-0.134029609,0.999717808,0.00630345429,-0.559091426,-0.999998267,UNAS,None,1836.4304,LogParabola,none,0,0.419049756,0.382801262,0.580950244,0.382801262,0.0836501049,0.138687756,0.916349895,0.138687756,0.0830365919,0.0426917027,0.916963408,0.0426917027,0.138086187,0.0511673041,0.861913813,0.0511673041,0.256560739,0.361254098,0.743439261,0.361254098,0.0343422369,0.078401565,0.965657763,0.078401565,0.0841506488,0.0582695243,0.915849351,0.0582695243,0.0275124981,0.0188187289,0.972487502,0.0188187289,PSR,,,,,
4FGL J0237.8+5238,138.82658,-6.920497,-25.7728786,-28.3388854,7.33484355,1.8067142,0.1203319,0.61116403,8.227161,2.04105575,-0.049695376,-0.23532008,-0.21625245,-0.6150306,-0.9945319,-0.99549204,UNAS,None,3FGL J0238.0+5237,,,0.0341390355,0.0859045962,0.965860964,0.0859045962,0.134494248,0.120519984,0.865505752,0.120519984,0.0716102664,0.0358815532,0.928389734,0.0358815532,0.0754421142,0.0224059487,0.924557886,0.0224059487,0.0229694176,0.116189138,0.977030582,0.116189138,0.0312163223,0.0454448992,0.968783678,0.0454448992,0.0142814395,0.00568281194,0.98571856,0.00568281194,0.00350096737,0.00175137191,0.996499033,0.00175137191,0,PSR,3FGL J0238.0+5237,138.84839,-6.9210315,-25.1797428,-27.4406257,1.51279256,3.59950795,1.82695322,-0.576075129,-0.527433506,-0.629746476,-0.999989055,UNAS,None,941.9881,LogParabola,none,0,0.258985196,0.201933161,0.741014804,0.201933161,0.0630697793,0.134203275,0.936930221,0.134203275,0.482280042,0.0761557766,0.517719958,0.0761557766,0.12950591,0.0241914106,0.87049409,0.0241914106,0.0265898545,0.0399616316,0.973410146,0.0399616316,0.0184536331,0.0559899386,0.981546367,0.0559899386,0.126840855,0.0512858007,0.873159145,0.0512858007,0.0118797717,0.00388215022,0.988120228,0.00388215022,PSR,,,,,
4FGL J0336.0+7502,133.08284,15.5278635,-25.6242543,-28.3476655,7.25816506,1.7785343,0.09780698,0.39936444,8.019439,2.28715049,0.5358744,-0.49493322,-0.28625444,-0.5412086,-0.9114754,-0.9996564,UNAS,None,3FGL J0336.1+7500,,,0.0235062965,0.0430441281,0.976493704,0.0430441281,0.172253884,0.130530068,0.827746116,0.130530068,0.103836125,0.0450111452,0.896163875,0.0450111452,0.196402298,0.0537324401,0.803597702,0.0537324401,0.00480572414,0.0321123122,0.995194276,0.0321123122,0.0369945404,0.0395596469,0.96300546,0.0395596469,0.0189538454,0.0115659076,0.981046155,0.0115659076,0.0130595068,0.00627570225,0.986940493,0.00627570225,512,PSR,3FGL J0336.1+7500,133.10916,15.503392,-25.3317607,-27.5922533,1.54690016,3.52188813,1.56137951,-0.303334611,-0.440471216,-0.65130927,-0.848773619,UNAS,None,1049.3801,LogParabola,none,0,0.0399348033,0.0758050368,0.960065197,0.0758050368,0.0909398911,0.146754031,0.909060109,0.146754031,0.42144807,0.0924767752,0.57855193,0.0924767752,0.13778631,0.0258627417,0.86221369,0.0258627417,0.00386396849,0.00414249148,0.996136032,0.00414249148,0.0309243004,0.0721569497,0.9690757,0.0721569497,0.0528779493,0.0347513675,0.947122051,0.0347513675,0.0115037893,0.00349184869,0.988496211,0.00349184869,PSR,,,,,
4FGL J0426.5+5434,150.87962,3.8203735,-24.3389373,-27.1568306,6.47739867,2.4477382,0.057618756,0.4055289,10.44446,2.24956365,0.20157528,-0.3713612,-0.7438935,-0.9080385,-0.9995921,-0.87606275,UNAS,None,3FGL J0426.7+5437,,,0.0055309921,0.00556602426,0.994469008,0.00556602426,0.0696540295,0.0620561872,0.93034597,0.0620561872,0.231433613,0.0732212985,0.768566387,0.0732212985,0.0144179008,0.00665994671,0.985582099,0.00665994671,0.0064191253,0.00672943538,0.993580875,0.00672943538,0.0107751765,0.0138174871,0.989224823,0.0138174871,0.196389774,0.0749045565,0.803610226,0.0749045565,1.05364411E-4,7.10891792E-5,0.999894636,7.10891792E-5,0,PSR,3FGL J0426.7+5437,150.86702,3.873888,-24.5728036,-26.6419348,2.0393272,3.94801134,1.86888214,-0.219263908,-0.595499862,-0.90209441,-0.99995292,UNAS,None,852.095,LogParabola,none,0,0.0105737195,0.0184282588,0.98942628,0.0184282588,0.0487397607,0.126338809,0.951260239,0.126338809,0.0923863467,0.0434939688,0.907613653,0.0434939688,0.0589507952,0.0145598154,0.941049205,0.0145598154,0.00769364094,0.0489875022,0.992306359,0.0489875022,0.0158684604,0.0525441213,0.98413154,0.0525441213,0.0223638417,0.0190904727,0.977636158,0.0190904727,0.00618804375,0.00275500027,0.993811956,0.00275500027,PSR,,,,,
4FGL J0854.8-4504,265.60712,-0.033795353,-24.5802394,-27.2835201,7.49700125,2.0051749,0.07897452,0.4560051,9.78225,1.76859658,0.84193546,-0.431849,-0.2106818,-0.61577374,-0.91768944,-0.99996346,UNAS,None,3FGL J0854.8-4503,,,3.97377823E-4,3.15996979E-4,0.999602622,3.15996979E-4,0.0610480036,0.0465967461,0.938951996,0.0465967461,0.0206710657,0.0154363046,0.979328934,0.0154363046,0.0107011839,0.00468946226,0.989298816,0.00468946226,9.16597589E-4,3.93716407E-4,0.999083402,3.93716407E-4,0.00829512135,0.00892567539,0.991704879,0.00892567539,0.0106521606,0.00513168026,0.989347839,0.00513168026,1.72698857E-4,1.10900732E-4,0.999827301,1.10900732E-4,0,PSR,3FGL J0854.8-4503,265.60278,-0.022904674,-24.2073702,-26.5404088,1.86795205,3.80523477,1.56864723,0.307413102,-0.42241138,-0.704981224,-0.82461513,UNAS,None,1786.5521,LogParabola,none,0,0.00634170702,0.0246792212,0.993658293,0.0246792212,0.0454428819,0.12282196,0.954557118,0.12282196,0.205058259,0.0745106846,0.794941741,0.0745106846,0.099956138,0.0206160436,0.900043862,0.0206160436,0.00151075682,0.00164063167,0.998489243,0.00164063167,0.0139885929,0.0525911136,0.986011407,0.0525911136,0.0180129542,0.0184715248,0.981987046,0.0184715248,0.0131236108,0.0050852393,0.986876389,0.0050852393,PSR,,,,,
4FGL J0933.8-6232,282.24362,-7.9074183,-25.0898182,-28.2308996,7.41980971,1.5678551,0.079068944,0.6922556,16.303122,1.93253954,0.9925545,0.061091155,0.011609381,-0.52218586,-0.96416503,-0.99997365,UNAS,None,3FGL J0933.9-6232,,,0.00185906414,0.00237975907,0.998140936,0.00237975907,0.0674932468,0.0625104069,0.932506753,0.0625104069,0.0460158771,0.0252463355,0.953984123,0.0252463355,2.58468434E-4,2.22713227E-4,0.999741532,2.22713227E-4,0.00349845204,0.00363875123,0.996501548,0.00363875123,0.0104627491,0.0131979117,0.989537251,0.0131979117,0.108599068,0.0483866667,0.891400932,0.0483866667,1.30127771E-6,1.81966081E-6,0.999998699,1.81966081E-6,0,PSR,3FGL J0933.9-6232,282.23508,-7.8936515,-25.1240059,-27.5747171,2.17680058,4.08094417,-0.359546261,-0.337519104,0.0628042115,-0.55127219,-0.962199936,UNAS,None,1713.0546,LogParabola,none,0,0.124912742,0.20001404,0.875087258,0.20001404,0.0593440507,0.128949566,0.940655949,0.128949566,0.0691977962,0.0376680676,0.930802204,0.0376680676,0.0770961727,0.0368523754,0.922903827,0.0368523754,0.151553907,0.310177557,0.848446093,0.310177557,0.0171859022,0.0554546066,0.982814098,0.0554546066,0.0590987507,0.0520910344,0.940901249,0.0520910344,0.0103321814,0.00999926524,0.989667819,0.00999926524,PSR,09 34 02,-62 31 34,"60, 35",627,52.87366994901967
4FGL J0953.6-1509,251.90317,29.602777,-25.805364,-28.5337349,7.14521154,1.670663,0.10398003,0.6611468,10.572415,2.02798898,-0.9135777,0.706788,-0.19541328,-0.6886535,-0.9555201,-0.99948734,UNAS,None,3FGL J0953.7-1510,,,0.0172373466,0.0406272176,0.982762653,0.0406272176,0.167750915,0.137812551,0.832249085,0.137812551,0.102397474,0.0446609825,0.897602526,0.0446609825,0.023013042,0.0112117387,0.976986958,0.0112117387,0.0231384711,0.121498457,0.976861529,0.121498457,0.0448015508,0.0429495599,0.955198449,0.0429495599,0.0213607875,0.0152720509,0.978639212,0.0152720509,5.44216727E-4,3.67185879E-4,0.999455783,3.67185879E-4,0,PSR,3FGL J0953.7-1510,251.938,29.605461,-25.8641457,-27.9763977,1.77007562,3.69423134,0.432336793,0.752499692,-0.236787848,-0.73221733,-0.999960159,UNAS,None,1383.4703,LogParabola,none,0,0.0091808831,0.0261422918,0.990819117,0.0261422918,0.101642255,0.159388015,0.898357745,0.159388015,0.137898392,0.0596966477,0.862101608,0.0596966477,0.0744193623,0.025503872,0.925580638,0.025503872,0.0111862207,0.021404231,0.988813779,0.021404231,0.0411831782,0.0956702025,0.958816822,0.0956702025,0.0525674354,0.0335537929,0.947432565,0.0335537929,0.00567756862,0.00357137883,0.994322431,0.00357137883,PSR,,,,,
4FGL J1026.2-5731,284.4052,0.022287028,-25.1207578,-27.0720127,7.57316109,2.310663,0.16865793,0.7073355,6.4235845,2.05559653,-0.47843587,-0.8074426,-0.11838486,-0.7403578,-0.9107785,-0.99998224,UNAS,None,3FGL J1026.2-5730,,,0.00504021802,0.0123226538,0.994959782,0.0123226538,0.118834032,0.0846741661,0.881165968,0.0846741661,0.180109017,0.0558792564,0.819890983,0.0558792564,0.147735066,0.038674491,0.852264934,0.038674491,0.035454269,0.16384116,0.964545731,0.16384116,0.0102666434,0.0110784942,0.989733357,0.0110784942,0.0761990945,0.0459332604,0.923800906,0.0459332604,0.00477930586,0.00248638441,0.995220694,0.00248638441,16,PSR,3FGL J1026.2-5730,284.39386,0.03263714,-23.7829316,-25.9921974,1.98401829,3.92036549,1.76339502,-0.734763769,-0.472185423,-0.802496816,-0.789783015,UNAS,None,1818.6279,LogParabola,none,16,0.0011371504,0.00211549932,0.99886285,0.00211549932,0.0477412533,0.122601097,0.952258747,0.122601097,0.190024908,0.0702719824,0.809975092,0.0702719824,0.115510834,0.0273264248,0.884489166,0.0273264248,6.85526965E-4,6.81107994E-4,0.999314473,6.81107994E-4,0.0135969312,0.0525583318,0.986403069,0.0525583318,0.0968008598,0.0663676307,0.90319914,0.0663676307,0.0142761184,0.00704205221,0.985723882,0.00704205221,PSR,,,,,
4FGL J1037.8-5810c,286.06104,0.24389318,-24.7247657,-26.3723653,7.17363144,2.684824,0.13483578,0.282769,4.637929,1.57003513,-0.6493901,-0.42447942,-0.73479116,-0.76242685,-0.97065514,-0.99171376,UNAS,None,3FGL J1039.1-5809,,,0.431166655,0.31487632,0.568833345,0.31487632,0.203926245,0.149077584,0.796073755,0.149077584,0.450609875,0.0867065405,0.549390125,0.0867065405,0.359837055,0.0740700199,0.640162945,0.0740700199,0.0758023964,0.0842861214,0.924197604,0.0842861214,0.0134019242,0.0153913453,0.986598076,0.0153913453,0.104485629,0.0523241558,0.895514371,0.0523241558,0.00990465061,0.00571591461,0.990095349,0.00571591461,52,PSR,3FGL J1039.1-5809,286.20035,0.35093978,-24.8376074,-26.4708721,1.60118682,3.62338792,1.46932676,0.994823597,-0.515975648,-0.707415164,-0.99998526,UNAS,None,1940.8593,LogParabola,none,273,0.0164813228,0.0318142746,0.983518677,0.0318142746,0.053973925,0.122811914,0.946026075,0.122811914,0.180514339,0.0586355818,0.819485661,0.0586355818,0.154769331,0.0361234939,0.845230669,0.0361234939,0.00375396367,0.0364985984,0.996246036,0.0364985984,0.0152873962,0.0526418122,0.984712604,0.0526418122,0.0328747742,0.0242350981,0.967125226,0.0242350981,0.0211075985,0.00892232125,0.978892402,0.00892232125,PSR,,,,,
4FGL J1120.0-2204,276.49228,36.05591,-24.8023592,-28.0897317,6.71727598,1.8061941,0.05412133,0.4826669,15.957187,2.69783001,0.9992491,-0.087242864,-0.45477787,-0.7529461,-0.9999978,-0.9968395,UNAS,None,3FGL J1119.9-2204,,,0.0174567164,0.0269248201,0.982543284,0.0269248201,0.149078088,0.125840504,0.850921912,0.125840504,0.0836303294,0.036969435,0.916369671,0.036969435,0.00160619771,0.00134689905,0.998393802,0.00134689905,0.00550255122,0.0191661703,0.994497449,0.0191661703,0.0407909163,0.0405492113,0.959209084,0.0405492113,0.0340019896,0.024375528,0.96599801,0.024375528,7.49530084E-6,1.11836508E-5,0.999992505,1.11836508E-5,0,PSR,3FGL J1119.9-2204,276.46957,36.058777,-24.806882,-27.5994381,2.26768487,4.13711363,1.37840602,-0.0429079633,-0.485484334,-0.769623939,-0.999989576,UNAS,None,791.70807,LogParabola,none,0,0.0104946564,0.0198515057,0.989505344,0.0198515057,0.0921372797,0.17373661,0.90786272,0.17373661,0.119452837,0.0490737956,0.880547163,0.0490737956,0.0252221127,0.00787625385,0.974777887,0.00787625385,0.00665865258,0.00992015681,0.993341347,0.00992015681,0.0395380989,0.102409813,0.960461901,0.102409813,0.112229619,0.0614072549,0.887770381,0.0614072549,0.0023978179,0.00115116809,0.997602182,0.00115116809,PSR,,,,,
4FGL J1225.9+2951,185.42696,83.77291,-25.5711537,-28.2531239,7.42361516,1.7706448,0.090977825,0.4213426,9.4063635,2.33661119,0.98694074,0.22606881,-0.270526,-0.46573177,-0.9065388,-0.99736756,UNAS,None,3FGL J1225.9+2953,,,0.00616432323,0.0480335713,0.993835677,0.0480335713,0.303564984,0.208309124,0.696435016,0.208309124,0.0909784306,0.0437187607,0.909021569,0.0437187607,0.039236291,0.0183240648,0.960763709,0.0183240648,0.0044368948,0.0262219423,0.995563105,0.0262219423,0.100219118,0.126991193,0.899780882,0.126991193,0.046447,0.0322380938,0.953553,0.0322380938,0.00146237486,0.00102692421,0.998537625,0.00102692421,0,PSR,3FGL J1225.9+2953,185.15211,83.764755,-25.4680493,-27.6584143,1.64431472,4.06117681,1.18952395,0.295858598,-0.510710187,-0.36458415,-0.890935171,UNAS,None,1750.3351,LogParabola,none,0,0.0588820611,0.0679396711,0.941117939,0.0679396711,0.45287619,0.294403682,0.54712381,0.294403682,0.231486842,0.0715408446,0.768513158,0.0715408446,0.414794077,0.0719168556,0.585205923,0.0719168556,0.0113188509,0.0128828477,0.988681149,0.0128828477,0.279740638,0.306002379,0.720259362,0.306002379,0.172396745,0.0749691847,0.827603255,0.0749691847,0.112456172,0.0452409134,0.887543828,0.0452409134,PSR,,,,,
4FGL J1306.3-6043,304.75537,2.0990448,-24.4184243,-27.5161025,7.64646791,1.7509532,0.06734431,0.4585444,12.969028,2.49713187,-0.13735324,-0.055392962,-0.14214388,-0.45783648,-0.83196634,-0.96044683,UNAS,None,3FGL J1306.4-6043,3FHL J1306.3-6042,,0.00575048284,0.00842223622,0.994249517,0.00842223622,0.0552031607,0.0443720793,0.944796839,0.0443720793,0.196955986,0.0579820658,0.803044014,0.0579820658,0.0110118213,0.00678803929,0.988988179,0.00678803929,0.00228955112,0.00154407586,0.997710449,0.00154407586,0.00757268111,0.00825056605,0.992427319,0.00825056605,0.0466269528,0.0382902729,0.953373047,0.0382902729,1.10724472E-4,9.35165504E-5,0.999889276,9.35165504E-5,0,PSR,3FGL J1306.4-6043,304.76846,2.0864322,-24.0721553,-26.7129711,1.96954248,3.5748209,1.34043405,-0.104235062,-0.357361536,-0.528834477,-0.857838178,UNAS,None,1551.6885,LogParabola,none,0,4.47040829E-4,7.66527811E-4,0.999552959,7.66527811E-4,0.037907116,0.123280653,0.962092884,0.123280653,0.0852905193,0.0447456446,0.914709481,0.0447456446,0.0316369032,0.00864738923,0.968363097,0.00864738923,8.93288707E-4,7.16528407E-4,0.999106711,7.16528407E-4,0.0125685192,0.0526242687,0.987431481,0.0526242687,0.0122514322,0.0123855349,0.987748568,0.0123855349,0.00351339477,0.0016585017,0.996486605,0.0016585017,PSR,,,,,
4FGL J1317.5-6316,305.85916,-0.55519617,-24.8783569,-27.0146547,7.5193056,2.1377225,0.13905108,0.58153284,7.586788,2.22467912,-0.29285827,-0.2607218,-0.21706125,-0.7133222,-0.9448871,-0.75296813,UNAS,None,3FGL J1317.6-6315,,,0.00521374284,0.00957104407,0.994786257,0.00957104407,0.0977468254,0.067875924,0.902253175,0.067875924,0.0645637141,0.0308604714,0.935436286,0.0308604714,0.131939991,0.0356225295,0.868060009,0.0356225295,0.00239129971,0.0315797276,0.9976087,0.0315797276,0.0094637838,0.0102705325,0.990536216,0.0102705325,0.0141932738,0.00698335144,0.985806726,0.00698335144,0.00373114518,0.00159781728,0.996268855,0.00159781728,0,PSR,3FGL J1317.6-6315,305.87152,-0.5375745,-24.2472789,-26.404368,1.5766425,3.92264133,1.70560614,0.99737042,-0.605245631,-0.751727306,-0.950192192,UNAS,None,1854.689,LogParabola,none,0,0.0145419843,0.0198848753,0.985458016,0.0198848753,0.0737779656,0.129573811,0.926222034,0.129573811,0.21389405,0.0647704357,0.78610595,0.0647704357,0.236057264,0.0483540603,0.763942736,0.0483540603,8.07009975E-4,9.11825918E-4,0.99919299,9.11825918E-4,0.0187086259,0.0530018003,0.981291374,0.0530018003,0.0260791421,0.0208935629,0.973920858,0.0208935629,0.0379376545,0.0150955822,0.962062346,0.0150955822,PSR,,,,,
