Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),500MeV_Index,ln(Variability_Index),HR12,HR23,HR34,HR45,Category_3FGL,CLASS1,Flags_Catalog,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O
3FGL J0937.7+5008,167.343994140625,46.770450592041016,-26.15283965890532,-27.962613125522157,-8.517193191416238,2.375924587249756,4.8050737221353685,-0.5839760189837131,-0.7236037969968699,-0.6854018509349243,-0.500443205751352,AGN,fsrq,1,0.99875964698812,0.031602982962290034,0.001240353011879873,0.031602982962290034,0.9966766177783032,0.008267382296708647,0.003323382221696794,0.008267382296708646,0.9605748325848551,0.027718916177798637,0.03942516741514478,0.02771891617779864,0.9999999999960973,3.014257072971955E-11,3.902775095705764E-12,3.014256953584168E-11,0.9991269953022123,0.0015200633732277429,8.73004697787688E-4,0.0015200633732277429,0.9822615607777313,0.04439278417587745,0.017738439222268684,0.04439278417587745,0.9566796370465609,0.029123494277396085,0.04332036295343913,0.029123494277396078,0.9999999965902433,2.0439819370414722E-8,3.409756714532763E-9,2.0439819372071473E-8
3FGL J1031.0+7440,134.2371826171875,39.208988189697266,-26.150204927232604,-27.70567027205581,-8.517193191416238,2.1465508937835693,3.7878547287586493,-0.23709178014674853,-0.7389386114513701,-0.4430834202530136,-0.6351864344514478,AGN,bcu,1,0.9988495819948762,0.031603316923631414,0.0011504180051237784,0.031603316923631414,0.9966846189025579,0.008257429396970285,0.0033153810974421846,0.008257429396970283,0.9706819850121698,0.021338916468538676,0.02931801498783011,0.02133891646853868,0.9999999999923352,9.736961411681396E-11,7.66470770747466E-12,9.736961393585762E-11,0.9994090176801851,0.0011013317703160539,5.909823198149035E-4,0.0011013317703160539,0.9809273146160047,0.04491864906424812,0.01907268538399534,0.04491864906424812,0.9604112737039879,0.027028124387938043,0.03958872629601207,0.027028124387938047,0.9999999960706019,2.2059776385157827E-8,3.929398056627762E-9,2.2059776386988123E-8
3FGL J1159.6-0723,281.1120300292969,53.27003479003906,-25.822644713501667,-27.63602310744954,-8.517193191416238,2.1038999557495117,3.808849478483503,-0.6974156410366952,-0.38199556840178533,-0.7168815120181656,-0.061547684292306705,AGN,bcu,1,0.9916012734330655,0.06607740604028244,0.008398726566934554,0.06607740604028244,0.9962715515265245,0.008387245398244054,0.0037284484734755544,0.008387245398244052,0.9587268411777262,0.026825822284066603,0.041273158822273816,0.026825822284066606,0.9999999999971059,2.4084230629154415E-11,2.894205950647262E-12,2.4084229086370233E-11,0.9905981963956622,0.022399439670611802,0.009401803604337967,0.022399439670611802,0.9810457583240875,0.04226460620945468,0.018954241675912562,0.04226460620945468,0.9311485877145858,0.033252702956849935,0.06885141228541422,0.033252702956849935,0.9999999964115547,2.7912229394105603E-8,3.5884453795164013E-9,2.7912229393274098E-8
3FGL J1832.4-5659,338.2242431640625,-20.018310546875,-25.245923503423494,-27.589038038063222,-8.517193191416238,2.31384015083313,4.176005269872854,-0.785385688774859,-0.39127545523413515,-0.7712057221896846,-0.5681634793878303,AGN,bll,1,0.9174559518727705,0.214782723511276,0.08254404812722947,0.214782723511276,0.9943220799996975,0.01168611076725916,0.005677920000302403,0.011686110767259162,0.9281767438469773,0.03683083956069868,0.07182325615302249,0.03683083956069868,0.9999999999879542,1.2294476474231956E-10,1.2045786300478151E-11,1.2294476541857872E-10,0.8882217417174991,0.14047314913099765,0.11177825828250101,0.14047314913099765,0.9624539028687078,0.07902008941817931,0.03754609713129217,0.07902008941817931,0.8634980895956972,0.05033726050523295,0.13650191040430287,0.050337260505232954,0.9999999870053733,7.31211580213665E-8,1.2994626635183317E-8,7.312115802219888E-8
3FGL J2358.3-2853,21.2832088470459,-78.1667251586914,-26.27905721562362,-27.957084247206605,-8.517193191416238,2.414008617401123,3.8272023865980835,-0.49710986573827076,-0.8337955687335475,-0.20376853132087636,-0.9999473746097253,AGN,bcu,1,0.9982168681990725,0.03162149477109143,0.0017831318009274525,0.03162149477109143,0.9960185368951275,0.01035146952302567,0.00398146310487239,0.010351469523025672,0.9215463321021597,0.03586640014459963,0.07845366789784008,0.035866400144599624,0.9999999999926582,1.0518707970380197E-10,7.341771719135742E-12,1.0518708014852575E-10,0.9992240599709562,0.002301402853793761,7.75940029043789E-4,0.002301402853793762,0.9858864580357662,0.032320335726216266,0.01411354196423368,0.032320335726216266,0.9436894033239323,0.03270702237004417,0.05631059667606782,0.032707022370044185,0.999999998582185,5.7629522298757815E-9,1.4178148492723993E-9,5.762952230568683E-9
3FGL J0534.5+2201i,184.55332946777344,-5.78121280670166,-21.658304330793083,-284.6,-8.517193191416238,1.6399999856948853,0.6931471805599453,-0.3100240766531646,-0.3937709160474069,-0.23270447201637215,-0.2329255930017774,OTHER,PWN,1,0.8989158345608844,0.18855122686278233,0.1010841654391157,0.18855122686278233,0.036066174393442056,0.13288281619893003,0.9639338256065579,0.13288281619893003,0.7903781325877336,0.06965147399897305,0.20962186741226643,0.06965147399897305,0.003000000144964827,0.05469003564754948,0.9969999998550352,0.05469003564754948,0.9425044368279153,0.1040600406538788,0.0574955631720848,0.1040600406538788,0.020558186151227866,0.10388023646646126,0.9794418138487722,0.10388023646646125,0.9148838212715329,0.0437615185266534,0.0851161787284671,0.04376151852665341,0.002,0.044676615807377355,0.998,0.044676615807377355
3FGL J0833.1-4511e,263.33251953125,-3.1059281826019287,-22.13071376141856,-284.6,-8.517193191416238,2.410059928894043,0.6931471805599453,-0.6388754420542487,-0.6999080443730452,-0.6388754502340762,-0.6454836444009808,OTHER,PWN,1,0.8710738137417964,0.21579603459286284,0.12892618625820376,0.21579603459286284,0.040147135879135626,0.14459803585663863,0.9598528641208645,0.14459803585663863,0.74140589610059,0.06963093835074603,0.2585941038994099,0.06963093835074603,0.0030000004719311145,0.0546900356296157,0.9969999995280688,0.054690035629615705,0.8977962878732684,0.1646662599131688,0.10220371212673167,0.1646662599131688,0.023464623500936973,0.10938135375092398,0.976535376499063,0.10938135375092398,0.8536179184696729,0.05348132930288649,0.146382081530327,0.053481329302886495,0.002,0.044676615807377355,0.998,0.044676615807377355
3FGL J1514.0-5915e,320.26995849609375,-1.2714745998382568,-23.81047328992739,-284.6,-8.517193191416238,1.5713396072387695,0.6931471805599453,-0.2742573353282897,-0.35950506103398594,-0.274257352902856,-0.258139415658418,OTHER,PWN,1,0.8489408644468935,0.22425133765230051,0.15105913555310638,0.22425133765230051,0.04485098182460212,0.15220222864200997,0.955149018175398,0.15220222864200997,0.8092177029285688,0.06790501028921934,0.19078229707143118,0.06790501028921933,0.0030000005632513198,0.054690035624607246,0.9969999994367487,0.054690035624607246,0.912112547659964,0.14178589667036243,0.08788745234003602,0.14178589667036243,0.02523473919526824,0.11273623728554784,0.9747652608047317,0.11273623728554784,0.9148921028651653,0.044383655055186676,0.08510789713483478,0.04438365505518668,0.002,0.044676615807377355,0.998,0.044676615807377355
3FGL J2021.0+4031e,78.24125671386719,2.196580648422241,-25.195397970388274,-284.6,-8.517193191416238,1.5299999713897705,0.6931471805599453,-0.2523225697286322,-0.3384077461726466,-0.25232260103373144,-0.11766725168196769,OTHER,SNR,1,0.9058696908376612,0.18371667643943718,0.09413030916233879,0.18371667643943718,0.03493806551283519,0.12253326012084613,0.9650619344871647,0.12253326012084612,0.81747026928996,0.07304721020545292,0.18252973071004003,0.07304721020545292,0.003000003813621218,0.05469003544643943,0.9969999961863788,0.05469003544643943,0.9540564540393841,0.08600177705047618,0.04594354596061586,0.0860017770504762,0.02158790409500895,0.1055210241651527,0.978412095904991,0.1055210241651527,0.8988858881585938,0.05077248118896404,0.10111411184140619,0.05077248118896403,0.002,0.044676615807377355,0.998,0.044676615807377355
3FGL J2028.6+4110e,79.60116577148438,1.3961323499679565,-21.14274657410542,-284.6,-8.517193191416238,2.174999952316284,0.6931471805599453,-0.5537820401775826,-0.62242187335289,-0.2085862536356777,-0.6184909701371296,OTHER,SFR,1,0.9107218266087064,0.18089428050092732,0.08927817339129374,0.18089428050092732,0.03527627834445903,0.12300409041092786,0.964723721655541,0.12300409041092786,0.769711036166885,0.06802716559297817,0.23028896383311498,0.06802716559297817,0.003000000145768601,0.05469003564750537,0.9969999998542314,0.05469003564750537,0.9603379746273003,0.08338430180894063,0.039662025372699694,0.08338430180894063,0.023118900469726613,0.11176508900348558,0.9768810995302735,0.1117650890034856,0.9016276347585206,0.04526934304320393,0.09837236524147938,0.04526934304320392,0.002,0.044676615807377355,0.998,0.044676615807377355
3FGL J1513.9-5908,320.3212585449219,-1.1620116233825684,-23.824797871856244,-25.971071099588446,-8.517193191416238,3.118903636932373,4.097887409677635,-0.8753389113433329,-0.8943162186003414,-0.5551062515945852,-0.28129442536615124,PSR,PSR,1,0.2857607735608762,0.2814043285990272,0.7142392264391237,0.2814043285990272,0.9923016160179691,0.014528205318468514,0.007698383982030924,0.014528205318468516,0.5257716985011666,0.0858326976149514,0.4742283014988334,0.0858326976149514,0.9999999999993461,8.852131138664032E-12,6.539424144139207E-13,8.85212976526345E-12,0.513434010563578,0.2859115916956825,0.4865659894364221,0.2859115916956825,0.947344782832688,0.09853514398201851,0.052655217167311905,0.09853514398201851,0.6888535444379114,0.0879310792449189,0.3111464555620887,0.0879310792449189,0.999999999930344,3.420207158587125E-10,6.965585052639677E-11,3.4202071722916423E-10
3FGL J0121.8-3917,277.3427429199219,-76.29368591308594,-26.743055620233672,-27.999224822489378,-8.517193191416238,1.799410343170166,3.613508651022086,0.9986281522192166,-0.5348743872054326,-0.572228651759913,-0.15341534581033459,UNAS,,1,0.9988425461022753,0.031602891015548584,0.0011574538977247861,0.031602891015548584,0.9954894599512898,0.01170937745332382,0.004510540048710272,0.011709377453323821,0.9631612146558995,0.023231340885139475,0.036838785344100455,0.023231340885139482,0.9999999999960576,4.143433648384208E-11,3.942330933039658E-12,4.143433589023252E-11,0.9997411297577551,6.062176540718612E-4,2.588702422448391E-4,6.062176540718604E-4,0.9811842496986442,0.05280197331272146,0.018815750301355728,0.05280197331272146,0.9378959243318575,0.032357844371394176,0.06210407566814259,0.03235784437139417,0.9999999981088202,1.1538154719573798E-8,1.8911798172703914E-9,1.1538154721334621E-8
3FGL J1655.1-3954,345.0734558105469,2.249619483947754,-26.00157161036783,-27.007357672186505,-8.517193191416238,1.6799067258834839,3.5288935265531225,0.8977617763877749,-0.7277630828823284,-0.31968977794518494,-0.5951113780214222,UNAS,,1,0.9947682205742455,0.05251113080868184,0.0052317794257545295,0.05251113080868184,0.9923137202822195,0.01542350252335513,0.007686279717780566,0.015423502523355132,0.940768743288394,0.03397375136810288,0.05923125671160591,0.033973751368102885,0.9999999999741804,4.5979873711087135E-10,2.581952543499395E-11,4.5979873632982136E-10,0.9967403526904939,0.011279506838610344,0.003259647309506162,0.011279506838610343,0.9531023090277884,0.08893668743224337,0.04689769097221164,0.08893668743224337,0.9064329876452349,0.05708890604107127,0.09356701235476511,0.05708890604107129,0.9999999943106438,3.20193154982778E-8,5.689356138844269E-9,3.20193155002054E-8
