Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),500MeV_Index,ln(Variability_Index),HR12,HR23,HR34,HR45,Category_3FGL,CLASS1,Flags_3FGL,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,OTHER_BDT,OTHER_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,OTHER_NN,OTHER_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,OTHER_RF,OTHER_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,OTHER_LR,OTHER_LR_STD,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,OTHER_BDT_O,OTHER_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,OTHER_NN_O,OTHER_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,OTHER_RF_O,OTHER_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,OTHER_LR_O,OTHER_LR_STD_O,Flags_Catalog
3FGL J0937.7+5008,167.343994140625,46.770450592041016,-26.15283965890532,-27.962613125522157,-8.517193191416238,2.375924587249756,4.8050737221353685,-0.5839760189837131,-0.7236037969968699,-0.6854018509349243,-0.500443205751352,AGN,fsrq,0,0.9147379392433678,0.1472859372169961,1.6369285306514582E-4,2.69803323511681E-4,0.08509836790356705,0.147321415506823,0.9867950198175687,0.017321838173252148,0.005964838686161109,0.010675723508019578,0.0072401414962701745,0.00994869092791389,0.9501008486303001,0.023911706419284667,0.023581895115898303,0.018416593226516766,0.026317256253801644,0.01561575064013299,0.9999496910097985,1.7967490096752005E-4,4.9411138115161686E-11,1.6012595363718948E-10,5.0308940790370866E-5,1.796748672696259E-4,0.9480879079822523,0.09620901460810861,3.2248347910878117E-4,6.625462778173586E-4,0.05158960853863893,0.09626556412054713,0.9588016497570807,0.057865623124771115,0.020412075610193356,0.035090722127669775,0.02078627463272602,0.0374826769654197,0.9171816035800292,0.025455189661203293,0.028532800754067337,0.015041326254394267,0.05428559566590339,0.020226871982686346,0.9956837702403649,0.013972120144364997,2.2226309232422727E-9,9.346960454714591E-9,0.004316227537004297,0.013972118878572923,1
3FGL J1031.0+7440,134.2371826171875,39.208988189697266,-26.150204927232604,-27.70567027205581,-8.517193191416238,2.1465508937835693,3.7878547287586493,-0.23709178014674853,-0.7389386114513701,-0.4430834202530136,-0.6351864344514478,AGN,bcu,0,0.9950475315329218,0.01687640637179925,2.0219346435782021E-4,3.3670225445573006E-4,0.004750275002720478,0.01686247236023104,0.9862237019910178,0.019578351108721546,0.006273372849399538,0.011979864666553125,0.007502925159582572,0.01127682044180019,0.9641174121477106,0.015987752450273174,0.017566256628617383,0.013076412364728137,0.0183163312236719,0.009518446215455067,0.9999621875279835,1.1239340912973358E-4,5.169689285790416E-11,1.546418983996853E-10,3.7812420319660814E-5,1.1239336789835823E-4,0.9914377492906514,0.02503974069005632,5.898527141611591E-4,0.001992532397648196,0.007972397995187308,0.024968892475880387,0.9588345306095377,0.057783979653142296,0.02052508631554275,0.03537126298170655,0.020640383074919548,0.03770066173571519,0.9264733841298453,0.02303379175100481,0.025913190981619268,0.013360596404961607,0.04761342488853538,0.01774783197912275,0.9972493005554481,0.008885793892764598,1.712338741296503E-9,6.495509440992179E-9,0.002750697732213046,0.008885793170109969,1
3FGL J1159.6-0723,281.1120300292969,53.27003479003906,-25.822644713501667,-27.63602310744954,-8.517193191416238,2.1038999557495117,3.808849478483503,-0.6974156410366952,-0.38199556840178533,-0.7168815120181656,-0.061547684292306705,AGN,bcu,0,0.9816352916262401,0.05363883047359996,0.0022923023416385638,0.006396902215569897,0.016072406032121362,0.053250325695859774,0.9853836061662512,0.0184550597341778,0.006805129151755018,0.011698343261604719,0.007811264681993774,0.010595340729651593,0.950781690396272,0.021201573909897613,0.026740101071523126,0.017807086652175966,0.022478208532204867,0.010889035776307655,0.9999712658488192,9.374659944026474E-5,3.170597661289696E-11,8.738972576796262E-11,2.873411947484908E-5,9.374657858911266E-5,0.981675703387693,0.03625087787357351,0.0034909769139417303,0.007871127292696805,0.014833319698365289,0.03544686277499825,0.9547135718487266,0.06041416931036043,0.023549188607858568,0.038850498614277265,0.021737239543414867,0.03826086838404617,0.8877954201905716,0.03704324712892251,0.041895589190704144,0.018541915961972546,0.07030899061872421,0.028669567399196638,0.998053370548208,0.007478202385284122,1.1464028264974392E-9,4.210056987505685E-9,0.0019466283053892646,0.007478202038806999,1
3FGL J1832.4-5659,338.2242431640625,-20.018310546875,-25.245923503423494,-27.589038038063222,-8.517193191416238,2.31384015083313,4.176005269872854,-0.785385688774859,-0.39127545523413515,-0.7712057221896846,-0.5681634793878303,AGN,bll,0,0.9248565954476043,0.16289496796343014,0.024117373955269077,0.11597019858492957,0.05102603059712659,0.11785135856950979,0.9666503983064072,0.05561202421107064,0.0127342658581319,0.027484211279026758,0.020615335835460918,0.03786843662484617,0.9177897324338102,0.028088392242093214,0.04280870405675551,0.02172685956484958,0.03940156350943417,0.01682189195521252,0.9998804750595107,4.012681873013612E-4,7.709343401240682E-11,2.450876210202604E-10,1.1952486339593537E-4,4.012681302345244E-4,0.9236590479553342,0.11292644338946424,0.013655697353064745,0.029115143236068276,0.06268525469160116,0.11103531969494225,0.8888235720606762,0.11855642754974093,0.03909597166591921,0.06588759790021226,0.07208045627340465,0.07296670062921794,0.8229868653018181,0.04824271325259041,0.06897204139271869,0.026196779770632214,0.10804109330546319,0.03727062627086648,0.9925374225210696,0.023891531712795455,2.3498830681098633E-9,8.998044631577095E-9,0.007462575129047371,0.02389153095180675,1
3FGL J2358.3-2853,21.2832088470459,-78.1667251586914,-26.27905721562362,-27.957084247206605,-8.517193191416238,2.414008617401123,3.8272023865980835,-0.49710986573827076,-0.8337955687335475,-0.20376853132087636,-0.9999473746097253,AGN,bcu,0,0.9846641093154114,0.04430002817960342,5.490608052026967E-4,0.0010178121643264427,0.014786829879386022,0.04431455688305574,0.9819596700430375,0.03414579326590978,0.007742467443852213,0.018552622758921933,0.01029786251311036,0.02235566707543448,0.9038412160654404,0.030597919015381426,0.06076651700104441,0.026198360089399093,0.0353922669335151,0.015375809376269256,0.9999678697409836,9.224750996731488E-5,2.6134351978812385E-11,9.181922307995235E-11,3.213023288201185E-5,9.224748555710541E-5,0.9860156806998405,0.03480871880783661,6.852973401436825E-4,0.002082456581169111,0.01329902196001578,0.03476477076694299,0.9541707486121729,0.06912947172724221,0.021088979111255502,0.046747742472943506,0.02474027227657151,0.04475572708780448,0.8584378113899588,0.037762997054790644,0.06800406606913866,0.025615548262777534,0.07355812254090248,0.025809542103059892,0.9975868399140561,0.007860916799255506,7.488093783849044E-10,3.806026731744866E-9,0.0024131593371344764,0.007860916498432124,1
3FGL J0534.5+2201i,184.55332946777344,-5.78121280670166,-21.658304330793083,-284.6,-8.517193191416238,1.6399999856948853,0.6931471805599453,-0.3100240766531646,-0.3937709160474069,-0.23270447201637215,-0.2329255930017774,OTHER,PWN,0,0.7497220378151335,0.2718715912266355,0.08482879146845436,0.1538020010692409,0.16544917071641216,0.22635288266146952,0.06721115838110259,0.18733054883940417,0.6713633840595201,0.2408432368578918,0.2614254575593772,0.19272424931439622,0.6878329173827882,0.07415150909007413,0.12988418521070702,0.05463975249422452,0.18228289740650472,0.05656569591399829,9.417936477542504E-55,2.6380323007360354E-53,0.0704143402452525,0.25022319477988936,0.9295856597547474,0.25022319477988936,0.7577014417268939,0.2395535486933966,0.09213689247036957,0.15241339966194561,0.1501616658027366,0.18433145005347823,0.09924941698874559,0.2287560399901625,0.6073027713417678,0.29093706592802715,0.29344781166948675,0.25354791684302314,0.7226637241476968,0.06227057896758331,0.08893834405976465,0.03872269052130103,0.1883979317925386,0.05596588213555439,9.53734760719847E-55,3.0108793593504095E-53,0.15053190766741,0.35115451084773913,0.84946809233259,0.35115451084773913,1
3FGL J0833.1-4511e,263.33251953125,-3.1059281826019287,-22.13071376141856,-284.6,-8.517193191416238,2.410059928894043,0.6931471805599453,-0.6388754420542487,-0.6999080443730452,-0.6388754502340762,-0.6454836444009808,OTHER,PWN,16,0.6033465129862104,0.3043231463923146,0.07145492189465683,0.13224033360487736,0.3251985651191328,0.2864568872322993,0.08078961879454502,0.21167587779583097,0.6937291949761514,0.24267191076134853,0.22548118622930355,0.1776548024644639,0.6275915514741721,0.07285275628090505,0.15302025114383352,0.05517980344731396,0.2193881973819945,0.05798827705544295,2.1197816100232145E-54,5.531138532230291E-53,0.06806048634115558,0.24610010174035968,0.9319395136588443,0.24610010174035965,0.4786791030698446,0.29098699652942966,0.06305498008095724,0.11632805842307117,0.4582659168491981,0.2872172308093322,0.12260703991126957,0.25507809981505114,0.6343072138238062,0.29189934928908734,0.24308574626492427,0.22198418962740857,0.6367273872088517,0.06456798576002573,0.1136019907663291,0.039491595769803066,0.2496706220248193,0.05824215120616038,2.7460889032367776E-54,8.665982282640103E-53,0.14565213951773381,0.346830450311913,0.8543478604822661,0.34683045031191295,1
3FGL J1514.0-5915e,320.26995849609375,-1.2714745998382568,-23.81047328992739,-284.6,-8.517193191416238,1.5713396072387695,0.6931471805599453,-0.2742573353282897,-0.35950506103398594,-0.274257352902856,-0.258139415658418,OTHER,PWN,0,0.6547028226241368,0.2935952039280556,0.1268393068878561,0.19064920889384912,0.21845787048800713,0.24729011562920292,0.08792299920169923,0.2206669404243281,0.7066668157117346,0.2404957680842271,0.20541018508656608,0.15977063019122398,0.7019731648636709,0.07255521907194071,0.12778287256103457,0.05376220062722267,0.17024396257529445,0.05472256320911667,2.0709022600116008E-54,5.905060909082146E-53,0.07110442277803532,0.2514361436247253,0.9288955772219647,0.2514361436247253,0.6271796000066039,0.2790167124376809,0.14576272083027306,0.1995300846534767,0.2270576791631231,0.22240321819040193,0.1263967184970049,0.25464024908507316,0.6422386788043377,0.2840039996842509,0.23136460269865738,0.2032972941009961,0.6908629518377791,0.06301792535480676,0.08832124106618333,0.03724214023623557,0.22081580709603746,0.05788417560217282,1.6860720298090194E-54,5.322902465209535E-53,0.15235744256517655,0.3528668838560586,0.8476425574348234,0.3528668838560586,1
3FGL J2021.0+4031e,78.24125671386719,2.196580648422241,-25.195397970388274,-284.6,-8.517193191416238,1.5299999713897705,0.6931471805599453,-0.2523225697286322,-0.3384077461726466,-0.25232260103373144,-0.11766725168196769,OTHER,SNR,24,0.8158324443937879,0.24104083288333067,0.06681304744224227,0.13892118737140463,0.11735450816396976,0.19227135652658367,0.059812984412299985,0.1764132013473726,0.6034363407121458,0.2536112413039608,0.33675067487555416,0.22477067190830718,0.8029401189539496,0.0672400551487208,0.1278617572083109,0.05892245023712072,0.06919812383773959,0.03468238885794518,6.897492836021653E-54,1.9854282806437176E-52,0.07214711148144437,0.2533993722550802,0.9278528885185557,0.2533993722550802,0.8338561926878422,0.1989895700671768,0.0730484244973056,0.13526746126076447,0.09309538281485226,0.13880344450376808,0.08849290042507973,0.21395391466712588,0.5597665474687907,0.29795930611948945,0.3517405521061296,0.27674715290274415,0.7981410015474462,0.05412873244502337,0.08887881101433238,0.0428914566631739,0.11298018743822144,0.04151925135439529,4.1492245404427527E-54,1.3096582214537086E-52,0.15410912842587346,0.3547412027166827,0.8458908715741266,0.35474120271668264,1
3FGL J2028.6+4110e,79.60116577148438,1.3961323499679565,-21.14274657410542,-284.6,-8.517193191416238,2.174999952316284,0.6931471805599453,-0.5537820401775826,-0.62242187335289,-0.2085862536356777,-0.6184909701371296,OTHER,SFR,0,0.43272519880330274,0.3195848160202649,0.054994007509812565,0.12443074183913427,0.5122807936868846,0.3220154565028734,0.060098936974324,0.17789009165941624,0.6042552455789005,0.253711931956854,0.33564581744677546,0.22425512544675485,0.6523993862109915,0.070463007722472,0.13457698503969975,0.051900556663102886,0.21302362874930883,0.05637220740186743,1.5145306640845846E-54,4.09218373667006E-53,0.06921137485611209,0.24808318909166294,0.9307886251438879,0.2480831890916629,0.3665576027163627,0.2946139235609025,0.04436558092522728,0.09988677740342157,0.58907681635841,0.2991591894554546,0.09241187424594088,0.22011373244591498,0.5605287855094677,0.29835987981637935,0.3470593402445914,0.27511482409811105,0.6700006274256878,0.06589835374908413,0.09182915158012057,0.03638867748160296,0.23817022099419177,0.05982198911362655,1.7839140208563973E-54,5.62934181565164E-53,0.14765861634299646,0.34864441991928236,0.8523413836570035,0.34864441991928236,1
3FGL J1513.9-5908,320.3212585449219,-1.1620116233825684,-23.824797871856244,-25.971071099588446,-8.517193191416238,3.118903636932373,4.097887409677635,-0.8753389113433329,-0.8943162186003414,-0.5551062515945852,-0.28129442536615124,PSR,PSR,5,0.009780942592138879,0.03917030851163249,0.02983454710488841,0.08216643876400169,0.9603845103029728,0.0934532758304116,0.9517480131401203,0.08511665746277076,0.010736363883851517,0.02010869234601094,0.037515622976028125,0.07521002037469111,0.1684585864387958,0.054923488367243735,0.22793969407576134,0.06558149951850388,0.6036017194854428,0.07638841618356235,0.9999843665519416,6.37313522505065E-5,1.2457165568570127E-12,3.4643130630632894E-12,1.563344681266592E-5,6.373135166760014E-5,0.025385162301288837,0.0513442940839348,0.02543086525266864,0.08058935428653234,0.9491839724460425,0.10390771496095641,0.8451387963043034,0.18805141118759264,0.03445774043649941,0.06562067933052919,0.12040346325919714,0.15698653715464514,0.1345567388094741,0.04864173348292878,0.21760620172561712,0.06795910473648324,0.6478370594649089,0.07823251215497058,0.9990251506916128,0.0029576776036016146,4.0672796343696955E-11,2.075182448069068E-10,9.748492677143501E-4,0.0029576775902379736,1
3FGL J0121.8-3917,277.3427429199219,-76.29368591308594,-26.743055620233672,-27.999224822489378,-8.517193191416238,1.799410343170166,3.613508651022086,0.9986281522192166,-0.5348743872054326,-0.572228651759913,-0.15341534581033459,UNAS,,0,0.9943409291768066,0.019939635371073346,1.7977781093016435E-4,3.1956370304403675E-4,0.005479293012263288,0.01993276876260587,0.9718531403541592,0.04207107218403128,0.012309099960623047,0.02617388036871154,0.01583775968521787,0.0189845865926036,0.9560987673058284,0.01800878574369036,0.02058384378271422,0.01401282220784151,0.023317388911457324,0.011459280385997231,0.9998807304450661,3.382253747842129E-4,5.554201740921378E-11,1.48916535385384E-10,1.1926949939183722E-4,3.382253329158438E-4,0.9960216627348468,0.0098318300222521,3.380654069039306E-4,0.001090004843090466,0.003640271858249314,0.009786969080891196,0.9030363957649031,0.11578021669733943,0.039362781986737275,0.06649940385374571,0.05760082224835959,0.06326644260640867,0.9067843309950641,0.02704258574222972,0.03333164650956635,0.01554811856158296,0.05988402249536961,0.020856143428304642,0.9899505374665207,0.03039354745151629,1.8616152301150388E-9,6.8330419689742254E-9,0.01004946067186403,0.03039354689451484,1
3FGL J1655.1-3954,345.0734558105469,2.249619483947754,-26.00157161036783,-27.007357672186505,-8.517193191416238,1.6799067258834839,3.5288935265531225,0.8977617763877749,-0.7277630828823284,-0.31968977794518494,-0.5951113780214222,UNAS,,0,0.9144167119639528,0.1565245378496466,8.673745664895449E-4,0.003417429380401566,0.08471591346955756,0.15640223823991575,0.9420161026258375,0.09652354449707554,0.01629762529988674,0.037328832511507454,0.04168627207427579,0.07622218193466448,0.8821518485609217,0.041115125669643676,0.03893380838895075,0.02150121512868005,0.07891434305012757,0.034092582423328084,0.9998732991080364,3.611832325205645E-4,1.3605561496857078E-10,3.601058953667691E-10,1.2670075590806446E-4,3.611831325952734E-4,0.9132971636497663,0.14709039257206913,0.0010015510502304425,0.003935083635316298,0.08570128530000326,0.14717838202889771,0.8019832323893782,0.22126973348097395,0.05309128751870828,0.09573631033587254,0.14492548009191358,0.16507076940031457,0.731991454136569,0.07399599322599815,0.065531669562166,0.03260602018824597,0.20247687630126499,0.0662756488639421,0.9906501472949755,0.027303705743708367,4.225402928214463E-9,1.3757288364815057E-8,0.009349848479621701,0.02730370416469948,1
