Source_Name_4FGL,cos(GLON),GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Pivot_Energy),LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,ln(Variability_Index),HR12,HR23,HR34,HR45,HR56,HR67,Category_4FGL,Class_4FGL,ASSOC_FGL,ASSOC1,Flags_4FGL,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,OTHER_BDT,OTHER_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,OTHER_NN,OTHER_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,OTHER_RF,OTHER_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,OTHER_LR,OTHER_LR_STD,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,OTHER_BDT_O,OTHER_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,OTHER_NN_O,OTHER_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,OTHER_RF_O,OTHER_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,OTHER_LR_O,OTHER_LR_STD_O,Missing_Values_Catalog,OTHER_T,PSR_T,AGN_T,OTHER_T_STD
4FGL J1801.8-2358,0.984483997,-0.610649,-24.1138787,-25.9307188,8.56015914,2.2996333,0.11163338,0.03529097,1.0632064,2.16766429,0.14052181,0.83473617,-0.6470973,-0.6642827,-0.7375068,-0.4629525,UNAS,None,,,0,0.0568174556,0.0556213913,0.0094728376,0.0356566995,0.933709707,0.0660850871,0.0773547101,0.0817421802,0.0509085065,0.0484543768,0.871736783,0.0958156254,0.0718196806,0.0311344123,0.0686324373,0.0375971765,0.859547882,0.0481262823,0.089623006,0.0228518833,0.044629049,0.0121613317,0.865747945,0.0275304762,0.0465194916,0.0515779587,0.0130837946,0.038017973,0.940396714,0.0635804886,0.0439264939,0.0426675434,0.0582217373,0.0713100941,0.897851769,0.0849374284,0.0610680143,0.0268793689,0.0666934598,0.0365038045,0.872238526,0.046305959,0.0359218293,0.0135731608,0.053440852,0.0203534503,0.910637319,0.0263850855,0,7.151866645,0.3650826740999999,0.48305068140000007,0.17526893285804424
4FGL J1620.8-5035c,0.994494793,-0.41640782,-24.2561126,-25.8132527,8.52054528,2.5808349,0.19611119,0.11868878,2.4434292,2.20737414,0.67488945,0.24276114,-0.7161885,-0.70505047,-0.69409126,-0.6979404,UNAS,None,,,52,0.0770072034,0.0694640376,0.0119937692,0.0348933044,0.910999027,0.0788869403,0.047670615,0.0590863975,0.0706772684,0.0656633698,0.881652117,0.0895340946,0.0644570204,0.0300430389,0.0968718312,0.0474942872,0.838671148,0.0574233273,0.0330188476,0.00816601398,0.0499102694,0.0143930519,0.917070883,0.0173556393,0.0358810832,0.0491896491,0.0130391908,0.0399213793,0.951079726,0.0635924667,0.0257650294,0.0314600937,0.0969032503,0.104357416,0.87733172,0.108120766,0.0530059129,0.02352774,0.104525613,0.0527600833,0.842468475,0.0579915459,0.00913100548,0.00356535322,0.0566631673,0.0237673146,0.934205827,0.0240202682,0,7.153478923,0.5005843596,0.34593671738000004,0.1936808062796653
4FGL J1619.4-5106c,0.913446895,-0.61530745,-24.2386734,-25.8430811,8.64014764,2.5630627,0.26644048,0.13078229,2.5084808,1.81261835,0.9999974,-0.61136633,-0.8152487,-0.65910566,-0.68195707,-0.7206645,UNAS,None,,,36,0.0417879898,0.05204865,0.00739412836,0.0337013847,0.950817882,0.0642154169,0.0447985667,0.0610608546,0.0654194366,0.0613144639,0.889781997,0.0877631416,0.0874489517,0.0395777755,0.0995336877,0.0485397094,0.813017361,0.0609564902,0.0183161594,0.00506413504,0.0451875933,0.0159739115,0.936496247,0.0176249329,0.0681613217,0.098851499,0.00922624911,0.0368484582,0.922612429,0.108508361,0.0251758592,0.0350409725,0.0926701018,0.099232506,0.882154039,0.103872309,0.078293939,0.0348982484,0.0949427601,0.046866034,0.826763301,0.0552452861,0.00444881453,0.00192963376,0.0469907904,0.0276124673,0.948560395,0.0276952599,0,7.1702036510000005,0.46136474736999994,0.36843160202999997,0.20551133980749542
4FGL J1850.2-0201,0.914131218,-0.66888255,-24.9351086,-26.1379075,8.35240802,2.367875,0.17816836,0.013511523,0.26490644,1.92402391,0.4176533,0.35203794,-0.79038674,-0.81014293,-0.46813133,-0.5580785,UNAS,None,,,284,0.015246027,0.0161156581,0.0315313807,0.10617975,0.953222592,0.106412996,0.133521247,0.132341219,0.0199321514,0.0244368022,0.846546602,0.132445863,0.105434797,0.0417294427,0.0606161689,0.0314222226,0.833949034,0.052720266,0.141892799,0.0373800406,0.0123769199,0.00415987262,0.845730281,0.0384087607,0.01659264,0.0263343368,0.00273575659,0.00458254876,0.980671603,0.0278809802,0.0782979312,0.0756459656,0.0184581518,0.0370132557,0.903243917,0.0854771567,0.0734577978,0.0286705306,0.048942429,0.0257959575,0.877599773,0.0400073894,0.0519473959,0.0216181648,0.0135071001,0.00701340363,0.934545504,0.0238897522,0,7.175509306,0.20810005839,0.6163906348999999,0.20826736789603212
4FGL J1109.4-6115e,-0.377717133,-0.7756157,-23.0713367,-25.8870437,8.99891705,1.9291817,0.037399445,0.04430421,2.4064102,1.12702283,0.9478368,-0.5177842,-0.49043265,-0.43133998,-0.5961671,-0.41310453,UNAS,None,3FGL J1111.9-6038,,4,0.0166181087,0.0310799012,0.00642563625,0.0322317356,0.976956255,0.0455025648,0.0151617027,0.028687648,0.195829452,0.138095669,0.789008845,0.139683307,0.0424942622,0.0282622403,0.0426581404,0.0294647621,0.914847597,0.0416940645,0.0128599682,0.0043114235,0.0890738875,0.0291804235,0.898066144,0.0307826124,0.0201184968,0.038613106,0.00594825063,0.00608233714,0.973933253,0.0398840611,0.0117119913,0.0215659525,0.161619868,0.148611433,0.82666814,0.148741537,0.0378069271,0.0236659987,0.0296676743,0.0226685589,0.932525399,0.0333343656,0.00463603784,0.00225931189,0.103714251,0.0410438719,0.891649712,0.0416878565,0,7.203655345,0.6349371600799999,0.16140749483999997,0.22545889728951307
4FGL J1849.4-0117,0.991405166,-0.14576794,-24.3302182,-25.6196549,7.93678998,2.563533,0.632896,0.09364931,1.5876614,2.498031,0.8931103,-0.5506461,-0.77154887,-0.7039107,-0.7114925,-0.9350356,UNAS,None,3FGL J1849.5-0124c,,21,0.0167284143,0.0351475314,0.00113729042,0.00151665192,0.982134295,0.0353709957,0.124065882,0.121115334,0.0278024457,0.0331943838,0.848131672,0.123632441,0.122171571,0.048138518,0.0880671384,0.0413734443,0.78976129,0.0605470077,0.0678210105,0.0239238599,0.00656226593,0.00427771259,0.925616724,0.0259640344,0.0220464675,0.0626608562,0.00128000666,0.00197446354,0.976673526,0.0630070899,0.0788001883,0.0727190738,0.0331126946,0.0538676373,0.888087117,0.0883050536,0.0920625835,0.0363787906,0.0843169101,0.0408308018,0.823620506,0.0543600423,0.0259235326,0.0130940125,0.00419847457,0.0055399813,0.969877993,0.0144142203,0,7.203903123,0.24647722638,0.5496196497000001,0.18922636931161688
4FGL J1419.2-6029,0.81563794,0.5613107,-25.1351847,-26.077767,8.75876358,2.362121,0.38597533,0.01778684,0.21705148,1.79264099,-0.994485,0.9882527,-0.7782632,-0.6411444,-0.6640303,-0.93318313,UNAS,None,,,16,0.015363445,0.0119040855,0.00332833267,0.0314381428,0.981308222,0.0334569261,0.0815630691,0.106930672,0.0252856994,0.0362989727,0.893151231,0.112838065,0.151200809,0.0529691702,0.0750047933,0.0374836825,0.773794398,0.0633939139,0.0864701203,0.0227329147,0.0119202482,0.00538322481,0.901609631,0.0245092921,0.0157312023,0.017356186,0.00347294737,0.032802356,0.98079585,0.0375727235,0.0698528862,0.076648869,0.0321090169,0.0616135597,0.898038097,0.102322178,0.108497103,0.0387872014,0.0678654443,0.0351430468,0.823637453,0.0546392922,0.0337568319,0.0139230993,0.00938757743,0.00721019262,0.956855591,0.0157111379,0,7.2091904730000005,0.22837405956999998,0.5624354668,0.1832624301484343
4FGL J1626.0-4917c,-0.0456065679,-0.086029135,-24.2662732,-25.8532938,7.80910754,2.5203886,0.21276113,0.03547698,0.7135973,2.27906503,0.5420474,0.09986449,-0.84058595,-0.7228825,-0.67311585,-0.45190328,UNAS,None,3FGL J1626.2-4911,,60,0.0346440476,0.024290453,0.00475861156,0.00528521265,0.960597341,0.0262839346,0.122126093,0.124756395,0.0238481337,0.0251015591,0.854025773,0.126463134,0.0820549211,0.0358599449,0.0634523902,0.0336658451,0.854492689,0.0495210718,0.132506858,0.0405697504,0.0153914696,0.00420273178,0.852101672,0.0427951694,0.0186791198,0.0132249165,0.00336383874,0.00322960054,0.977957042,0.0148161088,0.0731543986,0.0617482873,0.0230742095,0.0342727954,0.903771392,0.0719525274,0.0631178259,0.0260577402,0.0619913437,0.0332934195,0.87489083,0.0441609003,0.0513334985,0.0216967345,0.0158898068,0.00630500903,0.932776695,0.0247515206,0,7.210613434,0.21176980380000002,0.5776167624999999,0.1700795070603582
4FGL J1631.7-4826c,-0.965751021,-0.18242832,-24.6660337,-25.9635082,8.0814314,2.6426623,0.29310828,0.19223715,2.230677,1.41725211,0.5878758,-0.5432152,-0.73797876,-0.6933194,-0.8647905,-0.47111028,UNAS,None,3FGL J1632.4-4820,,292,0.0309208108,0.0262333289,0.0216205919,0.0236508907,0.947458597,0.0403265238,0.0441260764,0.069407343,0.0562543252,0.0517537569,0.899619598,0.0878121618,0.0958982298,0.0391133859,0.12253922,0.0469646959,0.78156255,0.0614699015,0.01444915,0.00406607156,0.0367086213,0.0107495129,0.948842229,0.0123686175,0.016026088,0.0115355205,0.0151767002,0.01341128,0.968797212,0.0207227498,0.0232551047,0.0341899743,0.0619305516,0.071870733,0.914814344,0.0784976515,0.0760941152,0.0281507445,0.124301349,0.0503794224,0.799604536,0.0577019875,0.00348938368,0.00149287107,0.0349389371,0.0156727814,0.961571679,0.0157313127,0,7.222270744999999,0.47347029630000004,0.30425895858,0.1530916163023519
4FGL J1556.8-5242c,-0.593022688,0.53999096,-24.8156507,-26.1223365,7.40453704,2.6408668,0.23258817,0.34929532,3.7306597,1.75769581,0.9984767,-0.5462825,-0.6493073,-0.78367025,-0.85406,-0.9957865,UNAS,None,,,61,0.0203998534,0.0178008812,0.00809803219,0.00861150207,0.971502114,0.0218051634,0.0602141492,0.0710364838,0.076804094,0.0576502137,0.862981757,0.0901755553,0.0834523717,0.0329272404,0.0830561636,0.033284388,0.833491465,0.0463974393,0.0206154791,0.00632149333,0.0658015833,0.0160326832,0.913582938,0.0200649417,0.00990215407,0.00627178581,0.010103865,0.0106325011,0.979993981,0.0138880444,0.0270186444,0.0340612933,0.0823456246,0.0748944736,0.890635731,0.0817098055,0.0641425675,0.0222117728,0.0791415723,0.030367134,0.85671586,0.0400479359,0.00530617846,0.00230938917,0.0701887584,0.0225527642,0.924505063,0.0235875438,0,7.233408909,0.47553969338999996,0.29105139782999995,0.1420985561786511
4FGL J1843.7-0326,-0.751810927,0.14628315,-24.1872519,-25.4858383,7.77084228,2.7160115,0.7085584,0.11990464,1.7085334,1.03652209,-0.003644961,-0.2311955,-0.6495859,-0.8020954,-0.9372973,0.45250115,UNAS,None,3FGL J1843.7-0322,,24,0.00743394599,0.0337821205,0.00332246488,0.00619528436,0.989243589,0.0347473751,0.0565648736,0.0813705533,0.0524322196,0.05376146,0.891002907,0.0978606569,0.089561499,0.0380869157,0.166700465,0.0622673657,0.743738036,0.0737779133,0.0103274221,0.00472321768,0.0117850435,0.00901371419,0.977887534,0.011899857,0.00880413011,0.0446716632,0.00344141097,0.00672438048,0.987754459,0.0455872754,0.0295287343,0.0418469674,0.0576965648,0.0725317565,0.912774701,0.0813105549,0.071277237,0.0288965391,0.159750534,0.0669715949,0.768972229,0.0711899664,0.00338396147,0.00217635193,0.00699364597,0.0109213514,0.989622393,0.0111667783,0,7.260995848,0.46212234871999996,0.27688180357,0.1739286911436357
4FGL J1838.4-0630c,0.868965264,-0.08675464,-24.8396308,-25.8713272,8.60832901,2.4813576,0.5752562,0.088178664,1.173878,2.19887022,0.7165211,-0.8491383,-0.56769377,-0.80565846,-0.8156007,-0.0502744,UNAS,None,,,4152,0.0264082621,0.0237456475,0.00849287415,0.0328828116,0.965098864,0.0415305606,0.0733394267,0.103162628,0.0266990838,0.0375785222,0.899961489,0.11090205,0.114767926,0.0436726189,0.09005168,0.0401231459,0.795180394,0.0573391606,0.0453767522,0.0137269112,0.00627104556,0.00363635595,0.948352202,0.0148644046,0.0173929911,0.0205354842,0.00763542358,0.0386393521,0.974971585,0.0443592573,0.0469911949,0.0578058379,0.0266702842,0.0461899682,0.926338521,0.0755042152,0.0894462377,0.0342817319,0.0847130647,0.0381578702,0.825840698,0.0515909767,0.0128909241,0.00599896287,0.00415634634,0.00518909663,0.98295273,0.00778065787,0,7.318696483,0.25468980233,0.42661371479999993,0.1671035001288223
4FGL J1838.7-0601,0.540554074,0.06429827,-24.9612273,-25.9900605,9.27773842,2.1764882,0.24577025,0.08585439,1.0337244,2.35478966,-0.45386717,-0.12749301,0.23203683,-0.4958888,-0.70262873,-0.5519982,UNAS,None,,,16,0.0152672204,0.0108722125,0.00163815658,0.00192271865,0.983094623,0.0114305006,0.0745496754,0.102625097,0.0217632609,0.0294197545,0.903687064,0.108682225,0.119139322,0.0435291384,0.0712779618,0.0397756179,0.809582716,0.058877102,0.0570318421,0.0175763209,0.00634480991,0.00267432753,0.936623348,0.0183440343,0.0145165441,0.00885873614,0.00228261105,0.0309812777,0.983200845,0.03194161,0.0540018536,0.0622027149,0.0196907665,0.0400929578,0.92630738,0.0763205316,0.0854973538,0.0336532762,0.0591104734,0.0358144031,0.855392173,0.0519011311,0.019945415,0.00885379782,0.00571899962,0.0036068145,0.974335585,0.00977495755,0,7.372223734,0.18782703975999998,0.4399492264,0.1593105969698739
4FGL J1847.7-0125,0.984087056,0.16803293,-25.1106109,-26.0839037,8.95713558,2.1881168,0.24298811,0.09445212,0.9937995,1.6948808,0.06239643,-0.40737823,-0.5918562,-0.8130633,-0.52214384,-0.49596214,UNAS,None,,,0,0.0138673272,0.0110436506,8.19898845E-4,9.96917648E-4,0.985312774,0.0113317392,0.0656657578,0.10206841,0.0266200385,0.0377243998,0.907714204,0.109766417,0.128453729,0.0464185686,0.0535200067,0.0290821783,0.818026264,0.0542991258,0.0386733747,0.0121988431,0.00784105414,0.00347740402,0.953485571,0.0135995948,0.0133792679,0.0111295795,0.00167196133,0.0311768674,0.984948771,0.0328181098,0.0402298299,0.0552394815,0.0275828172,0.0545403114,0.932187353,0.077648509,0.0882919775,0.0321812665,0.0462656607,0.0262549671,0.865442362,0.0432291084,0.0111288604,0.00542811987,0.00704294515,0.00501090908,0.981828194,0.00786729507,0,7.4289454930000005,0.171364382565,0.39969012439999996,0.15603649599125344
4FGL J1417.7-6057,0.592034495,0.17804383,-25.0400099,-26.2799109,10.2354217,1.8151228,0.13688073,-0.050310344,1.4687941,1.81883136,-0.013305426,0.949996,-0.9405406,-0.52187246,-0.6497633,-0.4454453,UNAS,None,,,16,0.00126231395,0.00225322003,5.58368029E-4,9.26385967E-4,0.998179318,0.00281472665,0.0425469333,0.0729531624,0.0409559417,0.0583831214,0.916497125,0.0951226623,0.123831961,0.0483161042,0.0433866606,0.0262767105,0.832781378,0.054527183,0.0280681579,0.0106139449,0.0267097454,0.0154493763,0.945222097,0.0215388745,0.00434389305,0.0065959409,0.00142485728,0.00266792241,0.99423125,0.00851562676,0.02895368,0.0458451889,0.0447422212,0.0802293852,0.926304099,0.0919010133,0.0997551528,0.0401528497,0.0360950082,0.0215883356,0.864149839,0.047035115,0.00816371103,0.00479167466,0.0321699254,0.0327072627,0.959666364,0.0340255237,0,7.437031470000001,0.226042727809,0.33692580302999997,0.15614650434960492
4FGL J1800.2-2403c,0.910417032,-0.3397608,-25.058643,-26.0752143,9.37113467,2.184969,0.2642051,0.03949724,0.73183966,1.76576243,0.7665137,0.8688084,-0.8113077,-0.65575504,-0.59476364,-0.5438346,UNAS,None,1FGL J1800.5-2359c,,48,0.00726044619,0.00671086873,8.57974116E-4,9.51399479E-4,0.99188158,0.00700510179,0.0534243578,0.0822426161,0.0319217466,0.0416852299,0.914653896,0.0945211445,0.107072503,0.0423893617,0.0397998635,0.0232090035,0.853127634,0.0498539194,0.0355047871,0.0107792955,0.0195612182,0.00888719835,0.944933995,0.0154837925,0.00925641736,0.0123186155,0.00178286205,0.0303867193,0.988960721,0.0327995872,0.0329845361,0.0443000069,0.0370248034,0.0671037177,0.92999066,0.0806826722,0.0715933253,0.0290751067,0.0358636563,0.020068592,0.892543018,0.0382015286,0.0108966743,0.00523652014,0.018526995,0.0141749364,0.970576331,0.0155814808,0,7.486667835,0.185339119166,0.32799304715,0.14490039738911464
